inscricao;nome;rg;cpf;sexo;nascimento;responsavel;parentesco;celular;telefone;email;endereco;bairro;cep;cidade;especiais;nec_especial;tipo_escola;escolaridade;nome_escola;trabalha;profissao;transporte;internet;ex_aluno;como_conheceu;data_inscricao;facebook
1010928;João 1;1234456666;12345678900;Masculino;06/04/2000;Ana 1;tio;(12)3344-1234;(12)3344-1234;aaaa@globo.com;rua dos medicos;jardim val paraiba;12221-790;São José dos Campos;Não;;Pública;Cursando o 2º ano do ensino médio;EE Prof. Juvenal Machado de Araujo;Não;;Transporte coletivo;Sim;Não;Indicação de voluntários do CASD Vestibulares;19/08/2016 21:13;nao_tem
1009570;João 2;1234456667;12345678910;Feminino;18/07/1998;Ana 2;;(12)3344-1235;(12)3344-1235;aaab@globo.com;rua panaceia;pousada do vale;12226-743;São José dos Campos;Não;;Pública;Ensino médio completo;Outra;Não;;Transporte escolar;Não;Sim, por 1 ano;Indicação de conhecidos;02/08/2016 13:29;nao_tem
1007011;João 3;1234456668;12345678920;Masculino;31/03/1997;Ana 3;;(12)3344-1236;(12)3344-1236;asdad@gmail.com;Rua Laura Pereira Rios, 585;Jardim São José 1;12248-613;São José dos Campos;Não;;Pública;Ensino médio completo;EE Prof. Xenofonte Strabao de Castro;Não;Técnicoo Administrativo;Transporte coletivo;Sim;Sim, por 1 ano;Indicação de alunos/ex-alunos do CASD Vestibulares;05/07/2016 22:31;nao_tem
1011264;João 4;1234456669;12345678930;Masculino;14/11/1999;Ana 4;Pai;(12)3344-1237;(12)3344-1237;dasdasd@fgdfgd.com;Rua Sabino Bispo dos Santos;Jardim Maria Amélia;12318-026;Jacareí;Não;;Pública;Cursando o 3º ano do ensino médio;Outra;Não;;Transporte coletivo;Sim;Não;Indicação de conhecidos;21/08/2016 23:39;nao_tem
1009470;João 5;1234456670;12345678940;Feminino;20/01/1992;Ana 5;;(12)3344-1238;(12)3344-1238;dasdger@vdfv.com;Avenida Campos Flores, 960;Residencial Campo Belo;12224-853;São José dos Campos;Não;;Pública;Ensino médio completo;Outra;Não;;Transporte coletivo;Sim;Não;Indicação de conhecidos;31/07/2016 11:35;nao_tem
1008288;João 6;1234456671;12345678950;Masculino;14/06/1970;Ana 6;;(12)3344-1239;(12)3344-1239;fafaefaef@fsdff.com;R PONCAS;CHACARAS SAO JOSE;12227-550;São José dos Campos;Não;;Pública;Ensino médio completo;Outra;Sim;;Transporte coletivo;Sim;Não;Internet;11/07/2016 14:26;nao_tem
1009699;João 7;1234456672;12345678960;Masculino;19/06/1998;Ana 7;;(12)3344-1240;(12)3344-1240;fwefwefw@vvv.com;Avenida Pedro Friggi 2600 Apto 204 bl 28;Vista Verde;12223-430;São José dos Campos;Não;;Pública;Ensino médio completo;ETEC Aquarius;Não;;Transporte coletivo;Sim;Não;Indicação de conhecidos;04/08/2016 11:14;nao_tem
1010959;João 8;1234456673;12345678970;Masculino;02/04/2000;Ana 8;Mãe;(12)3344-1241;(12)3344-1241;acasva@qwert.com;rua Belmiro Andrade, 189;Jardim Oriente;12236-340;São José dos Campos;Não;;Particular;Cursando o 2º ano do ensino médio;ETEC Aquarius;Não;;Transporte coletivo;Sim;Não;Internet;20/08/2016 10:44;nao_tem
1008439;João 9;1234456674;12345678980;Masculino;24/05/1999;Ana 9;Mãe;(12)3344-1242;(12)3344-1242;vsdvdc@vverve.com;RUA ENGENHEIRO ALFREDO ALARIO;JARDIM GUANABARRA;14890-673;Outra;Não;;Particular;Cursando o 3º ano do ensino médio;;Não;;Transporte coletivo;Sim;Não;TV, Rádio ou Jornal;12/07/2016 13:57;nao_tem
1010120;João 10;1234456675;12345678990;Masculino;19/03/2000;Ana 10;Pai;(12)3344-1243;(12)3344-1243;plpomimo@vfvd.com;Rua das Avencas, 214;Santo Antonio da Boa Vista;12315-490;Jacareí;Não;;Pública;Cursando o 3º ano do ensino médio;Outra;Não;;Transporte coletivo;Não;Não;Indicação de conhecidos;10/08/2016 09:13;nao_tem
1010545;João 11;1234456676;12345679000;Feminino;28/09/1995;Ana 11;;(12)3344-1244;(12)3344-1244;vsvsbsd@l.com;rua novo horizonte;areias;50780-310;Outra;Não;;Pública;Cursando o 3º ano do ensino médio;Outra;Não;;Transporte coletivo;Sim;Não;Facebook ou outras redes sociais;17/08/2016 18:01;nao_tem
